plant	year	Electricity	SO2	NOx	Capital_Stock	Employees	Heat_coal	Heat_oil	Heat_gas	CAAP1
861	86	10281.7123287671	373.690739726027	87.3582739726027	991097693.98902	290	32188.6882465753	25.4384272109589	0	0
862	86	1999.67260273973	49.9212054794521	10.3665753424658	397562419.840339	102	6277.75140273972	8.30379008219178	0	0
863	86	2805.45890410959	64.9715890410959	10.0327671232877	307652678.420534	93	8548.80861917808	10.8858366246575	0	0
864	86	3581.41616438356	82.4965479452055	12.2651506849315	599991080.073652	147	10422.0889643836	134.764101682192	0	0
876	86	13633.6082191781	470.238602739726	121.889698630137	1200094407.94814	333	43990.8317534247	0	60.0575698630137	0
879	86	14200.9753424658	74.6747397260274	72.5843287671233	2568546373.07882	417	46900.1103232877	0	89.5424657534247	0
887	86	14413.8821917808	243.638273972603	48.6826301369863	1644546861.46199	363	43760.2760328767	28.943854569863	0	0
889	86	28254.1378082192	713.115753424658	176.959780821918	1562760415.42453	266	82342.1595178082	82.2233424657534	0	0
983	86	26667.4739726027	724.546712328767	178.64397260274	1544919788.04357	389	75473.9480931507	10.8919232876712	0	0
988	86	10097.7917808219	171.781753424658	58.3868219178082	1487463624.61588	325	28041.9874630137	160.751259583562	0	0
991	86	1627.76712328767	40.7270410958904	6.11279452054795	505194812.801209	95	5317.98249863014	43.6010630136986	0	0
994	86	23150.7808219178	284.758630136986	73.8134246575343	2467740402.07112	324	70676.2712	131.267030136986	0	0
1004	86	161.497260273973	4.63879452054795	1.09150684931507	295939052.161452	73	624.72578630137	11.8863452054795	0	0
1008	86	3949.88383561644	110.85104109589	20.4908219178082	649242605.746526	163	12442.3985150685	112.005945205479	0	0
1012	86	3860.77350684932	109.51597260274	20.2514246575342	451695166.642589	75	11467.2969534247	1.38451561643836	10.411397260274	0
1047	86	3346.77958356164	20.624301369863	24.2311780821918	425702704.472862	55	11096.3742410959	31.7681095890411	0	0
1250	86	3429.91232876712	11.8001643835616	14.4057534246575	521607700.331008	135	11891.3438520548	0	299.949939726027	0
1355	86	8441.19178082192	167.906657534247	32.2629589041096	580050237.449448	138	27035.9898575342	36.4398904109589	0	0
1356	86	19003.3205479452	211.423095890411	68.0314520547945	1776747333.34024	233	58007.9018246575	139.475349041096	0	0
1357	86	2529.59178082192	52.5870684931507	13.6932876712329	327318581.739379	106	8471.26420821918	6.92758356164383	0	0
1364	86	18617.5479452055	55.108301369863	74.546904109589	1513092677.27061	521	55828.5178191781	146.226739726027	145.693219178082	0
1570	86	1067.14520547945	9.37043835616438	3.91482191780822	267456583.496411	64	3369.69512328767	17.8795726027397	0	0
1606	86	2953.68493150685	28.4993698630137	11.8811232876712	171894743.944282	68	8287.6746630137	0	0	0
1695	86	5560.31232876712	36.326602739726	17.357095890411	679201803.424699	192	16290.4050191781	35.2519232876712	0	0
1745	86	8644.72328767123	54.53	27.6869315068493	1613540073.6535	315	27345.8724164384	151.544430953425	0	0
1943	86	668.396712328767	7.37605479452055	3.44153424657534	198165674.05509	38	2429.2039890411	1.40153424657534	0	0
2080	86	4667.4602739726	202.693671232877	19.5151780821918	480961260.854115	160	14675.1965479452	51.3572202739726	0	0
2103	86	30503.0383561644	655.136849315069	102.34797260274	2417867108.08129	486	89048.1182465753	240.469906849315	0	0
2107	86	10793.6273972603	253.046	82.7277260273973	929987581.266658	265	32971.5922684932	20.5725205479452	0	0
2526	86	1475.51835616438	25.8466575342466	6.58312328767123	366665146.212908	86	5015.68014246575	46.1104767123288	0	0
2527	86	1857.65890136986	31.3934520547945	9.37394520547945	362853089.251118	95	5892.49410958904	54.6014383561644	0	0
2535	86	3810.07863013699	53.3081369863014	11.4562191780822	406700010.366053	83	10460.9888493151	16.0573545041096	0	0
2549	86	8834.87671232877	108.199534246575	39.2947945205479	1631777153.25473	306	26795.6253041096	0	0	0
2554	86	8102.76164383562	112.878219178082	24.1952054794521	919511913.407399	214	23896.9909260274	0	0	0
2642	86	2567.10684931507	45.7545479452055	7.83898630136986	409506414.63137	133	7899.65704657534	40.9848657534247	0	0
2706	86	6697.21643835616	43.3821917808219	27.7935068493151	326355875.190473	105	19527.9805917808	34.3919085041096	0	0
2718	86	6257.74520547945	44.7646301369863	18.3399726027397	870564601.627101	156	17717.9596547945	99.8560047780822	0	0
2721	86	6375.57808219178	47.1883835616438	18.8667945205479	699423319.276009	145	18335.1189041096	47.0143595178082	0	0
2727	86	26170.9287671233	166.972630136986	70.8505479452055	1334492749.04699	196	68592.6378849315	169.105498224658	0	0
2790	86	770.416712328767	8.09794520547945	2.15791780821918	155031797.241268	52	2990.01091506849	0	0	0
2850	86	40848.7589041096	475.328	189.97098630137	2142426017.54705	540	116217.116087671	67.8920140931507	0	0
2864	86	6534.12739726027	171.650712328767	34.0382739726027	928317434.831534	282	21568.2384876712	15.1461269917808	0	0
2872	86	21711.9342465753	754.278849315069	123.235698630137	1649868134.18844	377	60281.7457424657	196.136482126027	0	0
2876	86	20222.6273972603	571.887808219178	128.799178082192	1329955520.49652	338	58110.5319506849	15.8840547945205	0	0
3098	86	4686.74246575342	10.5401369863014	25.8707945205479	991113408.431027	231	16016.2482356164	103.298856969863	0	0
3130	86	3357.40821917808	43.5056164383562	12.5237808219178	480693299.132355	105	10876.7565260274	151.167708558904	0	0
3131	86	10424.6630136986	160.132246575342	38.6538082191781	863674006.053658	144	30667.781260274	222.465470893151	0	0
3138	86	5098.45479452055	69.4550410958904	27.2610410958904	626170060.602105	176	17451.9551287671	26.9811460109589	0	0
3140	86	24241.7452054795	338.398794520548	72.8455616438356	1286797301.85683	211	69818.2779945205	257.827234421918	0	0
3149	86	25545.3095890411	287.908684931507	73.0306849315069	1299275857.98946	190	70847.7476438356	349.480292843836	0	0
